Participant identifier 	 Record number 	 Wt_Covid_Final 	
h70uyyq2mcw4tjb8 	 13041 	 0.6532322066 	
dyv4b5bu5y4g1r1h 	 13124 	 0.6532322066 	
xwb08npdh59pc0k1 	 12124 	 0.6107783108 	
y6511kn6dppwdfd3 	 12125 	 0.6107783108 	
mw2ruyb2gk0h5edb 	 12130 	 0.6107783108 	
8ew6yjdykgynt4t2 	 12140 	 0.6107783108 	
wp6r37hx9jn8rp4w 	 12149 	 0.6107783108 	
ur4marpc8htqgmt6 	 12193 	 0.6107783108 	
y0wae6byssc6ckvq 	 12201 	 0.6107783108 	
6a012469d95rf579 	 12213 	 0.6107783108 	
4zc77uttdpjzu9vk 	 12241 	 0.6107783108 	
g1448my1hgspyc7s 	 12265 	 0.6107783108 	
3fg8dc3aa3pckyek 	 12284 	 0.6107783108 	
4w51mharh9ap5fa2 	 12302 	 0.6107783108 	
4fkyh2ecw68gvdpb 	 12305 	 0.6107783108 	
nheacwfqpqbc3x6j 	 12309 	 0.6107783108 	
t5prcc2wnzfc41da 	 12329 	 0.6107783108 	
3fg9sv67pe4dg9za 	 12336 	 0.6107783108 	
ndnx5yv0cmps5wt3 	 12342 	 0.6107783108 	
uk0rz19zwuur1eu0 	 12346 	 0.6107783108 	
7kw75gc7h05g0pek 	 12349 	 0.6107783108 	
9t3qbwgnac3ywau8 	 12366 	 0.6107783108 	
a5u783vbffjfaatw 	 12440 	 0.6107783108 	
vt0v6juk97414psg 	 12466 	 0.6107783108 	
w2m59wh8h61c16ep 	 12511 	 0.6107783108 	
dpumdf0m30buy3rk 	 12514 	 0.6107783108 	
he5eh6608shmqkmr 	 12552 	 0.6107783108 	
w98x3jrzu87zbghm 	 12558 	 0.6107783108 	
cg5da54jj3baqjyz 	 12560 	 0.6107783108 	
df7zxrwq66j3ccm2 	 12589 	 0.6107783108 	
hke09rht04ah3ptp 	 12669 	 0.6107783108 	
44zjpredtzjawft7 	 12743 	 0.6107783108 	
a4emmx2phj0rca17 	 12763 	 0.6107783108 	
rmsewxk0wvvccrqn 	 12799 	 0.6107783108 	
cbpsk3rsh11vgk9y 	 12800 	 0.6107783108 	
bb61xj1vzqw605et 	 12822 	 0.6107783108 	
pdh0vnc21569s078 	 12823 	 0.6107783108 	
299bd1hfmpjct48u 	 12834 	 0.6107783108 	
gt5j6xy0kjqgvydx 	 13018 	 0.6107783108 	
27xyvc3w2xr4541u 	 12112 	 0.6202647123 	
pvjc8pgebefjdbqb 	 12116 	 0.6202647123 	
x9fydeaan3b3astw 	 12122 	 0.6202647123 	
hj0g4kjxp5gtzxt6 	 12226 	 0.6202647123 	
480ddv9xa1eq1fjk 	 12228 	 0.6202647123 	
bu36abdg3r0vswse 	 12230 	 0.6202647123 	
uk865j51qmnrm4ws 	 12242 	 0.6202647123 	
t1nkw9ztxa2k5183 	 12249 	 0.6202647123 	
cpme57vgmvhe5kgg 	 12258 	 0.6202647123 	
hyy0fh8j2tye7g1h 	 12259 	 0.6202647123 	
dpzbqkbrssgvgg5w 	 12261 	 0.6202647123 	
x2yvv6k2x97a74uf 	 12267 	 0.6202647123 	
1564hp2qxkx347xe 	 12271 	 0.6202647123 	
bh5ufppg12gxkz8a 	 12301 	 0.6202647123 	
rgntqd9pevhvv5zt 	 12306 	 0.6202647123 	
wjapt870exsc0yge 	 12314 	 0.6202647123 	
tunqx82rczgs0c57 	 12328 	 0.6202647123 	
d6vuhr4r3r9v0wn6 	 12334 	 0.6202647123 	
jukphr160m5wy4hh 	 12337 	 0.6202647123 	
n0ydm6cps0gm5n10 	 12343 	 0.6202647123 	
hn5tbwknfhegysap 	 12348 	 0.6202647123 	
3h77vc46kr81bk07 	 12350 	 0.6202647123 	
18duu8ndzm8j4nk6 	 12352 	 0.6202647123 	
w164jpv54kc1h466 	 12353 	 0.6202647123 	
cfmzpdvc3fg3xdv0 	 12355 	 0.6202647123 	
bpv3e2fjvd80z2tn 	 12359 	 0.6202647123 	
8fnzek94hvfcd54r 	 12360 	 0.6202647123 	
q21uc8128bxzpeyk 	 12394 	 0.6202647123 	
xmkh10kyzk7ws10t 	 12416 	 0.6202647123 	
0f9xh2yz33k7wm4v 	 12496 	 0.6202647123 	
q0abzbpwr108uzzj 	 12833 	 0.6202647123 	
myqx5vjxyjdrbv5s 	 12839 	 0.6202647123 	
4gn6b53j327mutxj 	 12101 	 0.6226276254 	
grz2ft84ukwsh43q 	 12104 	 0.6226276254 	
xkf0y90afaqtmx6y 	 12120 	 0.6226276254 	
xyxsyr297m776g28 	 12128 	 0.6226276254 	
1kw5j17kmcr5cbry 	 12129 	 0.6226276254 	
gjta5g1fv0jtsrh2 	 12136 	 0.6226276254 	
2wqsc181ap7rww5c 	 12138 	 0.6226276254 	
8cz6n0px9t3xwexq 	 12151 	 0.6226276254 	
kwfgtm3g3q2auwsx 	 12163 	 0.6226276254 	
7cn4sqrb53tkq94f 	 12164 	 0.6226276254 	
mqc48rb5uekmzfvx 	 12170 	 0.6226276254 	
54d8j2ftc3gchkvc 	 12338 	 0.6226276254 	
4mmznetkzzs308bf 	 12456 	 0.6226276254 	
8nh5mcsx98u18gpb 	 12471 	 0.6226276254 	
v9jcpnbqn1wyx0mq 	 12481 	 0.6226276254 	
z8pcbfyqj10xa43u 	 12582 	 0.6313168298 	
3xn6gawqnftzdgpd 	 12383 	 0.7828420821 	
s6u107cgz38az651 	 12446 	 0.7828420821 	
sawtcumt4ur29zm8 	 12484 	 0.7828420821 	
69d2fnf7awqkm8xg 	 12539 	 0.7828420821 	
zxq08nddf99km3wy 	 12554 	 0.7828420821 	
s97nfa2avuqq0u0t 	 12772 	 0.7828420821 	
y7e15yew3uy8b2v7 	 12955 	 0.7828420821 	
96pcdsunfhy8x41p 	 13076 	 0.7828420821 	
yzzpmq2dpy355tew 	 13084 	 0.7828420821 	
bmwpsfxw6t4gvv4c 	 13089 	 0.7828420821 	
tfmmesw67js2qub6 	 13092 	 0.7828420821 	
03ts6m2uzhxawygv 	 13102 	 0.7828420821 	
p086fk98g469uun2 	 13151 	 0.7828420821 	
bxxgd7z8qhn6fcxy 	 13172 	 0.7828420821 	
79e42em1ygj8feqp 	 13232 	 0.7828420821 	
agkq9y21s3rseswv 	 13262 	 0.7828420821 	
h5z52u9c4c423e8y 	 13298 	 0.7828420821 	
0z85d59gmkg5g9xg 	 13355 	 0.7828420821 	
xsd81fkfrd68em2z 	 12414 	 0.662623716 	
tp026818wy0bbtmd 	 12668 	 0.662623716 	
32yft2jzqy1wqda1 	 12690 	 0.662623716 	
hshk6a9t7efr6hba 	 12751 	 0.662623716 	
7hj2vekcxtva30y0 	 12780 	 0.662623716 	
0xn06ptsajnw4n1g 	 12786 	 0.662623716 	
fk54p8ydre3gkrg8 	 12855 	 0.662623716 	
z8qmxg41axpjkmre 	 12918 	 0.662623716 	
kpqnk1850n2d80nt 	 12930 	 0.662623716 	
ktq42ffxx8x4qtn6 	 12932 	 0.662623716 	
dk42bvpvuwtnjpuv 	 12964 	 0.662623716 	
p47kv6rwtvrarys3 	 13001 	 0.662623716 	
cf01b9nvv67v843z 	 13024 	 0.662623716 	
j6hvqkz7v2c1h1uf 	 13026 	 0.662623716 	
xka3y0v13ekbfsny 	 13043 	 0.662623716 	
v5u5hmth13pbz1v0 	 13052 	 0.662623716 	
qnue810z4eu57w31 	 13058 	 0.662623716 	
10g21qzapda6nqcn 	 13065 	 0.662623716 	
m706jdxnxvn2hakp 	 13086 	 0.662623716 	
3p4f5hpsq5hf2wa8 	 13146 	 0.662623716 	
vr7kwywf5vu3t888 	 13176 	 0.662623716 	
u4mpsj33vxeh30av 	 13225 	 0.662623716 	
8sh6ek5twa488r5c 	 13253 	 0.662623716 	
64wtdvwcwgdnav31 	 12145 	 0.7510581711 	
4c0x4bvg54nz9643 	 12224 	 0.7510581711 	
wd7mzq5rjcvh3a9j 	 12363 	 0.7510581711 	
fhxn6n7yk931zvuj 	 12384 	 0.7510581711 	
3z8hd3w95c386v37 	 12510 	 0.7510581711 	
6tztrtkyyb944zms 	 12538 	 0.7510581711 	
fnrkuv3ux2tjhh7k 	 12594 	 0.7510581711 	
9r1tga9e75ym1xdd 	 12631 	 0.7510581711 	
72n3j1p1f54x9p08 	 12636 	 0.7510581711 	
kh8sq7td427ftv3u 	 12671 	 0.7510581711 	
yt0yqz0wg4gf9vdb 	 12682 	 0.7510581711 	
4h4zmzhgykmc7rjf 	 12696 	 0.7510581711 	
t0fzuq0g1jm5rc1x 	 12718 	 0.7510581711 	
0r34pp54a7hcnk6x 	 12727 	 0.7510581711 	
usdty1fbae5jqafn 	 12737 	 0.7510581711 	
va87xnqug29pvvvq 	 12752 	 0.7510581711 	
ma5t3pzjf4r07qgp 	 12788 	 0.7510581711 	
meqkm8e1td6nwp51 	 12863 	 0.7510581711 	
vuzjvxqfajfq5n45 	 12904 	 0.7510581711 	
hfk7sedzcemvwbe2 	 13002 	 0.7510581711 	
bgdgn0zm44p5v4tx 	 13113 	 0.7510581711 	
2yh47a7tnezkpex4 	 13215 	 0.7510581711 	
7tfuhs285xc8s6tq 	 12093 	 0.6732212334 	
p1uemgwk7k9r2rr9 	 12115 	 0.6732212334 	
fc7jfj0h39ugttpv 	 12162 	 0.6732212334 	
3nezwvujty3pbpqb 	 12167 	 0.6732212334 	
0y4442388cg0h0x6 	 12175 	 0.6732212334 	
q0pjg6bxe3jbqg1v 	 12187 	 0.6732212334 	
qbxqp6kz0da2rf7e 	 12200 	 0.6732212334 	
yhj4g3h60u0t9e8h 	 12222 	 0.6732212334 	
7qf229v0ux676mce 	 12247 	 0.6732212334 	
u30hwa7n1kmr7ewy 	 12254 	 0.6732212334 	
jcgqupt8xqysvx2u 	 12270 	 0.6732212334 	
hzqnnkw04xw6sty7 	 12280 	 0.6732212334 	
xz58uxgryamq78zf 	 12412 	 0.6732212334 	
maxpfqw73wyyxx1t 	 12147 	 0.7399466256 	
m2rm86yvz64syu1h 	 12196 	 0.7399466256 	
wdyfcb1n8atfxqz0 	 12198 	 0.7399466256 	
d3jdjmthzqwe10xq 	 12209 	 0.7399466256 	
qxmrbxkdzn8w0uyj 	 12513 	 0.7399466256 	
8de5jgk79pdevmt1 	 12524 	 0.7399466256 	
uje5s7ztds83pjuy 	 12546 	 0.7399466256 	
mjf324er706x2hr2 	 12555 	 0.7399466256 	
n3yjc0cnhq67x0ac 	 12574 	 0.7399466256 	
ce1sa6eda6hqm71h 	 12621 	 0.7399466256 	
b3spjm1b5g6z43nq 	 12650 	 0.7399466256 	
21tmwdpyhhcfzc7k 	 12666 	 0.7399466256 	
tt8bkd9zkardv1mu 	 12674 	 0.7399466256 	
11x0e2ygwnt43cf5 	 12765 	 0.7399466256 	
y1ejppjx3gypn0xk 	 12766 	 0.7399466256 	
zbng7rpzc0jbuwzp 	 12767 	 0.7399466256 	
s7aeyrnej43yjnfg 	 12774 	 0.7399466256 	
kuzbw95k2k6n3drk 	 12097 	 0.6918571153 	
hyzwjusxe8hb8at8 	 12099 	 0.6918571153 	
s2cv2d80rbfu7jp3 	 12132 	 0.6918571153 	
ncns2946r2rfw2sv 	 12146 	 0.6918571153 	
xmdbr3zd946cwvuy 	 12185 	 0.6918571153 	
vj58twq6vpxn31q2 	 12189 	 0.6918571153 	
g3aa586e44q2y896 	 12266 	 0.6918571153 	
b0h2e57fr3dw1kqm 	 12300 	 0.6918571153 	
2dbmzk05mybbsjch 	 12311 	 0.6918571153 	
g7eysvqzhy7yv5zg 	 12365 	 0.6918571153 	
9u344p9wztcsxpkr 	 12439 	 0.6918571153 	
nscwp16k2176ameg 	 12545 	 0.6918571153 	
4cw35bja2jfdmh7s 	 12575 	 0.6918571153 	
swfm3nefj8q06x84 	 12600 	 0.6918571153 	
wzvcxzb022vmqc3g 	 12646 	 0.6918571153 	
nqbafv9jmj5wyy95 	 12161 	 0.7026028052 	
ef6fd5xnbs5cejnb 	 12168 	 0.7026028052 	
gs18ceeeq4x146h1 	 12182 	 0.7026028052 	
ry9jawej1q219t3a 	 12192 	 0.7026028052 	
9uq2yvbrcmj4h17u 	 12203 	 0.7026028052 	
y9runmgb781rsmdr 	 12205 	 0.7026028052 	
jyd5tz6nc6fuwpx7 	 12231 	 0.7026028052 	
c3cma2h6t1bdxxc5 	 12237 	 0.7026028052 	
zyadau0qrdbuxx1x 	 12238 	 0.7026028052 	
8wd8stn9gj979kht 	 12303 	 0.7026028052 	
gry6r17cnmgbtads 	 12358 	 0.7026028052 	
m9pc06x6c9945ysx 	 12369 	 0.7026028052 	
x0180z94phe5eupe 	 12435 	 0.7026028052 	
e5uhbyseghgcwbg8 	 12447 	 0.7026028052 	
2etgxbvquntevzpw 	 12559 	 0.7026028052 	
gevk3s2d0191p4d3 	 12108 	 0.7052793874 	
wg5efe2expemfkby 	 12109 	 0.7052793874 	
nyjez8jhmjsb89ns 	 12121 	 0.7052793874 	
9gfb44s4v9vqbhua 	 12123 	 0.7052793874 	
wjbtsqr3v8hg71zt 	 12135 	 0.7052793874 	
vd989t0kf4efweta 	 12156 	 0.7052793874 	
z3dxwg0qw1n1v8nv 	 12157 	 0.7052793874 	
wc946sbm149j82zf 	 12165 	 0.7052793874 	
rztus9xrfgcv3h1r 	 12172 	 0.7052793874 	
vyce31t52htph2pb 	 12176 	 0.7052793874 	
9h3tz5mtkugj8kzt 	 12179 	 0.7052793874 	
71k5atq9t7z99b9s 	 12181 	 0.7052793874 	
hfqhnuy5h6twhamg 	 12188 	 0.7052793874 	
9av4jp7asbvqmedp 	 12195 	 0.7052793874 	
wa6u7vqauahczjfq 	 12324 	 0.7052793874 	
